"row ID","Day of month","Month (number)","criteria_final","criteria_ozone","criteria_nitrogen_dioxide","criteria_particulate","criteria_ultraviolet","criteria_average_speed_diff","count_incidents","criteria_incidents","Mean(speed_diff)","Mean(temperature)","Mean(criteria_weather)","Mean(humidity)","criteria_pollution","criteria_final_incidents","criteria_speed_diff","criteria_final_weather"
"13/5",13,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",280,"risco_moderado",6,22,0,37,2,5,2,2
"14/5",14,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",189,"risco_moderado",5,21,0,39,2,5,2,2
"15/5",15,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",328,"risco_moderado",6,18,0,82,2,5,2,2
"16/5",16,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",206,"risco_moderado",5,14,0,80,2,5,2,2
"17/5",17,5,2,"risco_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",345,"risco_moderado",6,12,0,73,2,5,2,2
"18/5",18,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_muito_baixo",27,"risco_moderado",3,12,0,76,2,4,1,2
"19/5",19,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",23,"risco_moderado",2,12,0,77,2,4,1,2
"20/5",20,5,2,"risco_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",250,"risco_moderado",5,13,0,78,2,5,2,2
"21/5",21,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",220,"risco_moderado",6,16,0,74,2,5,2,2
"22/5",22,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",98,"risco_moderado",4,17,0,84,2,5,1,2
"23/5",23,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",228,"risco_moderado",6,16,0,86,2,5,2,2
"24/5",24,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",252,"risco_moderado",6,17,0,70,2,5,2,2
"25/5",25,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",48,"risco_moderado",2,19,0,64,2,5,1,2
"26/5",26,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",25,"risco_moderado",2,21,0,70,2,4,1,2
"27/5",27,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",164,"risco_moderado",5,19,0,79,2,5,2,2
"28/5",28,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",163,"risco_moderado",4,19,0,55,2,5,2,2
"29/5",29,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",178,"risco_moderado",5,21,0,49,2,5,2,2
"30/5",30,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",167,"risco_moderado",5,24,0,40,2,5,2,2
"31/5",31,5,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",267,"risco_moderado",6,25,0,46,2,5,2,2
"1/6",1,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",30,"risco_moderado",3,23,0,58,2,5,1,2
"2/6",2,6,1,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",7,"risco_moderado",2,20,0,85,2,3,1,2
"3/6",3,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",258,"risco_moderado",5,18,0,88,2,5,2,2
"4/6",4,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",265,"risco_moderado",5,16,0,80,2,5,2,2
"5/6",5,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",223,"risco_moderado",5,13,0,79,2,5,2,2
"6/6",6,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",185,"risco_moderado",5,12,0,84,2,5,2,2
"7/6",7,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",296,"risco_moderado",5,13,0,74,2,5,2,2
"8/6",8,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_muito_baixo",36,"risco_moderado",2,14,0,78,2,5,1,2
"9/6",9,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_muito_baixo",10,"risco_moderado",1,14,0,77,2,4,1,2
"10/6",10,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_muito_baixo",10,"risco_moderado",1,14,0,79,2,4,1,2
"11/6",11,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",355,"risco_moderado",5,16,0,70,2,5,2,2
"12/6",12,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",225,"risco_moderado",5,14,0,68,2,5,2,1
"13/6",13,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",286,"risco_moderado",5,14,0,78,2,5,2,2
"14/6",14,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",278,"risco_moderado",6,13,0,83,2,5,2,2
"15/6",15,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",69,"risco_moderado",3,15,0,82,2,5,1,2
"16/6",16,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",25,"risco_moderado",2,16,0,80,2,4,1,2
"17/6",17,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",126,"risco_moderado",5,15,0,83,2,5,2,2
"18/6",18,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",182,"risco_moderado",5,15,0,91,2,5,2,3
"19/6",19,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",274,"risco_moderado",5,17,0,91,2,5,2,3
"20/6",20,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",36,"risco_moderado",2,16,0,91,2,5,1,3
"21/6",21,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",170,"risco_moderado",6,18,0,85,2,5,2,2
"22/6",22,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",105,"risco_moderado",3,18,0,76,2,5,1,2
"23/6",23,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",28,"risco_moderado",2,16,0,94,2,4,1,3
"24/6",24,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",40,"risco_moderado",1,17,0,92,2,5,1,3
"25/6",25,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",208,"risco_moderado",5,18,0,85,2,5,2,2
"26/6",26,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",135,"risco_moderado",5,18,0,87,2,5,2,2
"27/6",27,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",151,"risco_moderado",5,19,0,86,2,5,2,2
"28/6",28,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",192,"risco_moderado",6,19,0,83,2,5,2,2
"29/6",29,6,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",23,"risco_moderado",2,20,0,88,2,4,1,2
"30/6",30,6,1,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",6,"risco_moderado",2,19,0,91,2,3,1,3
"1/7",1,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",131,"risco_moderado",5,20,0,86,2,5,2,2
"2/7",2,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",141,"risco_moderado",5,21,0,87,2,5,2,2
"3/7",3,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",102,"risco_moderado",5,20,0,88,2,5,2,2
"4/7",4,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",172,"risco_moderado",5,19,0,86,2,5,2,2
"5/7",5,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",124,"risco_moderado",5,19,0,87,2,5,2,2
"6/7",6,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",33,"risco_moderado",3,19,0,86,2,5,1,2
"7/7",7,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",16,"risco_moderado",1,19,0,90,2,4,1,3
"8/7",8,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",143,"risco_moderado",5,19,0,91,2,5,2,3
"9/7",9,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",121,"risco_moderado",5,22,0,83,2,5,2,2
"10/7",10,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",98,"risco_moderado",5,24,0,69,2,5,2,2
"11/7",11,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",97,"risco_moderado",4,26,0,74,2,5,2,3
"12/7",12,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",171,"risco_moderado",6,24,0,76,2,5,2,2
"13/7",13,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",52,"risco_moderado",3,20,0,90,2,5,1,3
"14/7",14,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",15,"risco_moderado",2,21,0,91,2,4,1,3
"15/7",15,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",141,"risco_moderado",5,20,0,95,2,5,2,3
"16/7",16,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",119,"risco_moderado",4,21,0,91,2,5,2,3
"17/7",17,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",120,"risco_moderado",4,21,0,86,2,5,2,2
"18/7",18,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",119,"risco_moderado",5,21,0,86,2,5,2,2
"19/7",19,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",133,"risco_moderado",6,21,0,95,2,5,2,3
"20/7",20,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",14,"risco_moderado",2,20,0,89,2,4,1,2
"21/7",21,7,2,"risco_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",23,"risco_moderado",1,21,0,85,2,4,1,2
"22/7",22,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",92,"risco_moderado",4,23,0,90,2,5,2,3
"23/7",23,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",133,"risco_moderado",4,20,1,96,2,5,2,3
"24/7",24,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",183,"risco_moderado",5,20,0,91,2,5,2,3
"25/7",25,7,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_baixo",222,"risco_moderado",6,19,0,98,2,5,2,3
"26/7",26,7,1,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_muito_baixo",7,"risco_moderado",0,15,0,100,2,3,1,3
"8/8",8,8,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_alto","risco_moderado",398,"risco_moderado",10,21,1,97,2,5,3,3
"9/8",9,8,2,"risco_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_baixo",319,"risco_moderado",7,19,0,94,2,5,2,3
"10/8",10,8,2,"risco_muito_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_muito_baixo",48,"risco_moderado",3,18,0,88,2,5,1,2
"11/8",11,8,2,"risco_baixo","risco_muito_baixo","risco_baixo","risco_moderado","risco_muito_baixo",55,"risco_moderado",2,17,0,87,2,5,1,2
